년월일,호기,구분,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-01-01,1,발전량,0,0,0,0,0,0,0,4.8,170.4,590.4,1044,1372.8,1444.8,1336.8,1154.4,729.6,297.6,16.8,0,0,0,0,0,0
2020-01-02,1,발전량,0,0,0,0,0,0,0,4.8,160.8,484.8,924,1226.4,849.6,1336.8,1159.2,708,288,16.8,0,0,0,0,0,0
2020-01-03,1,발전량,0,0,0,0,0,0,0,2.4,168,588,1034.4,1276.8,1569.6,1528.8,1238.4,708,256.8,21.6,0,0,0,0,0,0
2020-01-04,1,발전량,0,0,0,0,0,0,0,4.8,158.4,480,931.2,1420.8,1552.8,1425.6,1224,736.8,271.2,14.4,0,0,0,0,0,0
2020-01-05,1,발전량,0,0,0,0,0,0,0,2.4,175.2,621.6,1164,1538.4,1567.2,1449.6,1087.2,804,328.8,9.6,0,0,0,0,0,0
2020-01-06,1,발전량,0,0,0,0,0,0,0,0,16.8,79.2,132,98.4,208.8,153.6,141.6,48,16.8,0,0,0,0,0,0,0
2020-01-07,1,발전량,0,0,0,0,0,0,0,0,0,16.8,43.2,117.6,321.6,218.4,98.4,36,2.4,0,0,0,0,0,0,0
2020-01-08,1,발전량,0,0,0,0,0,0,0,0,57.6,357.6,525.6,609.6,134.4,105.6,110.4,74.4,50.4,4.8,0,0,0,0,0,0
2020-01-09,1,발전량,0,0,0,0,0,0,0,9.6,204,525.6,952.8,1284,1279.2,1149.6,847.2,484.8,223.2,16.8,0,0,0,0,0,0
2020-01-10,1,발전량,0,0,0,0,0,0,0,2.4,170.4,636,1142.4,1480.8,1550.4,1440,1176,801.6,340.8,19.2,0,0,0,0,0,0
2020-01-11,1,발전량,0,0,0,0,0,0,0,4.8,192,660,1192.8,1516.8,1584,1464,1255.2,782.4,300,21.6,0,0,0,0,0,0
2020-01-12,1,발전량,0,0,0,0,0,0,0,4.8,187.2,657.6,1250.4,1562.4,1620,1742.4,1468.8,924,256.8,26.4,0,0,0,0,0,0
2020-01-13,1,발전량,0,0,0,0,0,0,0,4.8,132,264,768,667.2,1154.4,1377.6,1464,976.8,400.8,33.6,0,0,0,0,0,0
